n,h1,h2,h3,h4,h5,h6,h7,h8,h9
1000,0,0,0,0,0,0,0,889,0
2000,0,0,0,0,0,0,0,1874,0
3000,0,0,0,0,0,0,0,2867,0
4000,0,0,0,0,0,0,0,3862,0
5000,0,0,0,0,0,0,0,4857,0
6000,0,0,0,0,0,0,0,5851,0
7000,0,0,0,0,0,0,0,6848,0
8000,0,0,0,0,0,0,0,7847,0
9000,0,0,0,0,0,0,0,8843,0
10000,0,0,0,0,0,0,0,9840,0
11000,0,0,0,0,0,0,0,10839,0
12000,0,0,0,0,0,0,0,11837,0
13000,0,0,0,0,0,0,0,12836,0
14000,0,0,0,0,0,0,0,13834,0
15000,0,0,0,0,0,0,0,14832,0
16000,0,0,0,0,0,0,0,15830,0
17000,0,0,0,0,0,0,0,16828,0
18000,0,0,0,0,0,0,0,17827,0
19000,0,0,0,0,0,0,0,18826,0
20000,0,0,0,0,0,0,0,19824,0
